Mass-to-charge ratio,Peak Area
-220,0.2
-219,0.2
-218,0.2
-217,0.3
-216,0.2
-215,0.4
-214,0.3
-213,0.3
-212,0.2
-211,0.4
-210,0.3
-209,0.3
-208,0.2
-207,0.3
-206,0.2
-205,0.3
-204,0.2
-203,0.3
-202,0.3
-201,0.4
-200,0.3
-199,0.5
-198,0.5
-197,0.6
-196,0.5
-195,0.8
-194,0.7
-193,0.4
-192,0.3
-191,0.6
-190,0.4
-189,0.5
-188,0.3
-187,0.7
-186,0.4
-185,0.4
-184,0.3
-183,0.5
-182,0.6
-181,0.7
-180,0.5
-179,0.8
-178,0.5
-177,1.1
-176,0.7
-175,1.0
-174,0.6
-173,1.2
-172,0.7
-171,1.4
-170,0.9
-169,1.2
-168,1.0
-167,0.9
-166,0.7
-165,2.0
-164,0.8
-163,2.8
-162,1.0
-161,1.2
-160,0.7
-159,0.9
-158,0.5
-157,0.6
-156,0.7
-155,2.0
-154,1.7
-153,1.7
-152,1.1
-151,1.6
-150,0.8
-149,1.3
-148,1.1
-147,2.1
-146,0.9
-145,1.2
-144,1.2
-143,0.8
-142,0.9
-141,1.6
-140,1.2
-139,2.4
-138,1.6
-137,3.9
-136,1.6
-135,4.6
-134,1.3
-133,5.0
-132,2.2
-131,1.5
-130,0.6
-129,1.2
-128,1.3
-127,1.9
-126,1.8
-125,3.8
-124,2.7
-123,3.1
-122,1.6
-121,5.8
-120,3.7
-119,1.9
-118,1.1
-117,3.1
-116,1.1
-115,3.8
-114,1.1
-113,3.3
-112,1.5
-111,4.4
-110,1.4
-109,3.7
-108,9.2
-107,1.8
-106,1.0
-105,1.5
-104,1.4
-103,4.4
-102,2.0
-101,6.5
-100,3.1
-99,35.9
-98,16.3
-97,659.4
-96,114.2
-95,11.5
-94,2.1
-93,2.4
-92,0.9
-91,1.4
-90,1.2
-89,19.2
-88,4.5
-87,8.4
-86,1.7
-85,5.8
-84,13.2
-83,4.7
-82,3.3
-81,24.8
-80,69.4
-79,47.2
-78,1.9
-77,5.8
-76,22.0
-75,8.0
-74,5.0
-73,37.2
-72,35.0
-71,10.8
-70,0.9
-69,7.3
-68,0.7
-67,2.1
-66,14.4
-65,6.2
-64,13.0
-63,13.5
-62,257.4
-61,8.4
-60,66.3
-59,26.9
-58,4.8
-57,4.6
-56,0.3
-55,2.1
-54,0.3
-53,1.8
-52,1.2
-51,1.3
-50,25.3
-49,28.6
-48,142.5
-47,6.9
-46,351.9
-45,28.9
-44,2.5
-43,35.3
-42,141.0
-41,38.9
-40,8.8
-39,2.6
-38,2.9
-37,27.7
-36,101.7
-35,82.1
-34,0.2
-33,0.6
-32,3.1
-31,0.4
-30,0.4
-29,0.8
-28,0.6
-27,6.1
-26,267.4
-25,48.5
-24,112.7
-23,0.6
-22,0.3
-21,0.2
-20,0.3
-19,0.7
-18,0.4
-17,47.0
-16,66.3
-15,1.9
-14,0.9
-13,0.8
-12,1.4
-11,1.4
-10,0.6
-9,0.5
-8,0.5
-7,0.4
-6,1.0
-5,0.7
-4,1.0
-3,1.6
-2,3.6
-1,64.1
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.3
7,7.7
8,0.1
9,0.0
10,0.0
11,0.0
12,33.9
13,0.1
14,0.0
15,2.4
16,0.0
17,11.2
18,20.4
19,0.3
20,0.0
21,0.0
22,0.1
23,322.5
24,29.7
25,2.3
26,2.1
27,42.1
28,10.9
29,12.2
30,4.6
31,2.4
32,0.1
33,0.1
34,0.1
35,0.3
36,178.7
37,63.7
38,21.3
39,1973.6
40,188.0
41,189.8
42,13.0
43,45.4
44,5.2
45,2.8
46,1.4
47,0.7
48,61.1
49,13.0
50,19.8
51,28.7
52,10.8
53,8.6
54,9.5
55,33.4
56,107.7
57,18.8
58,3.7
59,1.7
60,69.9
61,27.3
62,14.1
63,47.4
64,9.0
65,16.8
66,3.2
67,6.5
68,2.5
69,3.4
70,1.2
71,1.4
72,15.0
73,6.5
74,10.8
75,6.9
76,2.0
77,10.7
78,2.8
79,2.1
80,0.8
81,4.5
82,0.3
83,1.9
84,15.9
85,8.4
86,3.2
87,4.6
88,0.8
89,2.2
90,0.5
91,3.4
92,0.3
93,0.6
94,1.5
95,1.6
96,6.0
97,4.8
98,1.6
99,2.8
100,0.4
101,1.1
102,0.8
103,1.1
104,1.3
105,1.0
106,0.3
107,1.1
108,3.4
109,1.6
110,1.3
111,1.1
112,1.0
113,3.4
114,0.4
115,3.8
116,0.3
117,0.4
118,0.2
119,2.4
120,6.5
121,0.6
122,0.3
123,0.5
124,0.9
125,0.6
126,0.8
127,1.2
128,1.7
129,0.2
130,0.2
131,5.8
132,6.9
133,0.7
134,0.2
135,0.2
136,0.2
137,0.6
138,1.1
139,1.9
140,1.2
141,0.4
142,0.1
143,1.7
144,1.3
145,0.4
146,0.2
147,0.2
148,0.1
149,0.6
150,0.7
151,1.1
152,1.1
153,0.5
154,0.6
155,0.4
156,0.4
157,0.2
158,0.1
159,0.1
160,0.1
161,0.2
162,0.5
163,0.6
164,1.0
165,1.2
166,0.2
167,0.8
168,0.3
169,0.1
170,0.0
171,0.1
172,0.1
173,0.2
174,0.7
175,0.4
176,0.2
177,0.4
178,0.3
179,0.8
180,0.5
181,0.3
182,0.1
183,0.1
184,0.1
185,0.1
186,0.4
187,0.2
188,0.8
189,0.4
190,0.2
191,0.2
192,0.1
193,0.1
194,0.1
195,0.1
196,0.4
197,0.2
198,0.1
199,0.3
200,0.2
201,0.8
202,0.3
203,0.4
204,0.3
205,1.3
206,3.7
207,52.3
208,79.6
209,0.3
210,0.2
211,0.1
212,10.4
213,1.1
214,2.0
215,0.5
216,0.1
217,0.1
218,0.1
219,0.1
220,0.0
